match_id,season,team1,team2,winner,player_of_match,venue,total_runs,wickets
1,2019,Gujarat Titans,Chennai Super Kings,Gujarat Titans,Andre Russell,Lucknow,224,3
2,2022,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,Hardik Pandya,Chennai,240,9
3,2018,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,KL Rahul,Delhi,172,7
4,2022,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,KL Rahul,Ahmedabad,239,2
5,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Shubman Gill,Kolkata,144,9
6,2019,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rishabh Pant,Hyderabad,129,10
7,2019,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Rohit Sharma,Lucknow,143,7
8,2020,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Ravindra Jadeja,Delhi,174,7
9,2022,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Hardik Pandya,Hyderabad,240,9
10,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Rishabh Pant,Lucknow,152,9
11,2023,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rishabh Pant,Kolkata,235,9
12,2019,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Ravindra Jadeja,Ahmedabad,224,2
13,2023,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rishabh Pant,Lucknow,213,2
14,2020,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,Ravindra Jadeja,Lucknow,198,10
15,2022,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,Shubman Gill,Kolkata,206,7
16,2018,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Jos Buttler,Chennai,143,5
17,2023,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Ravindra Jadeja,Delhi,234,4
18,2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Virat Kohli,Delhi,162,6
19,2018,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Hardik Pandya,Hyderabad,209,9
20,2023,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Ravindra Jadeja,Ahmedabad,222,2
21,2023,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,MS Dhoni,Mohali,225,9
22,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Ravindra Jadeja,Mumbai,195,7
23,2022,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Ravindra Jadeja,Bangalore,179,8
24,2023,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Hardik Pandya,Bangalore,204,2
25,2022,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Andre Russell,Jaipur,146,2
